PR/workstream,Closure report path,Report verdict,Evidence verdict,Merge SHA,Deployed SHA,Version match evidence,Browser/API validation,CloudWatch/log validation,Limitation,Evidence gap? yes/no,Notes
#615,/private/tmp/regmind-pr615-final-closure-rerun/PR-MONITORING-LIST-PAGINATION-FIXTURE-FILTER-AND-TYPE-CLEANUP-1-final-closure-report.md,Closed PASS with validation limitation,PASS WITH VALIDATION LIMITATION,9f89758f32dbf0f21e04c71cdc5d4dab63580f60,7189d658faf8f5a9c63091b1f914516212b6a682,newer staging SHA includes #615 and #620,Authenticated API/browser rerun; direct click pagination passed,,Lower-privilege unauthorized fixture opt-in not directly retested,no,Add direct non-SCO fixture opt-in retest
#616,/private/tmp/regmind-next-review-reconciliation-tests/closure/PRS-NEXT-REVIEW-RECONCILIATION-TESTS-closure-report.md,Closed PASS,PASS,0d9dfbde71253ea8db71aa3042cb736ee76aaa06,0d9dfbde71253ea8db71aa3042cb736ee76aaa06,exact merge SHA matched git_sha/image_tag,Test-only PR; CI and staging runtime proof,,Test-only; documented xfail design gaps,no,
#617,/private/tmp/regmind-pr-617-post-merge-closure/PR-617-post-merge-closure-report.md,Closed PASS,PASS,f9b39185a58bc879932ac0ad982531819dc72194,f9b39185a58bc879932ac0ad982531819dc72194,exact merge SHA matched git_sha/image_tag,Read-only staging browser validation of simplified tab,,Other edge states remain static-test covered,no,
#618,/private/tmp/regmind-kyc-docs-verification-policy-mapping/PR-KYC-DOCS-VERIFICATION-POLICY-MAPPING-closure-report.md,Closed PASS,PASS,e229bbc243472f8e2cfebe0dfe90183e4f6f76aa,e229bbc243472f8e2cfebe0dfe90183e4f6f76aa,exact merge SHA matched git_sha/image_tag,Live staging standard policy mapping plus synthetic missing-policy warning,,,no,
#619,/private/tmp/regmind-pr-619-post-merge-closure/PR-619-post-merge-closure-report.md,Closed PASS with validation limitation,PASS WITH VALIDATION LIMITATION,1c596faaf4fefc15b39dae107684557d8cbc0dc1,7189d658faf8f5a9c63091b1f914516212b6a682,newer staging SHA includes #619; exact #619 SHA not final live SHA,Read-only staging browser validation on newer main,,"Validated on newer main, not exact #619 merge SHA",no,
#620,/private/tmp/regmind-pr620-post-merge-closure/PR-BACKOFFICE-FLOATING-WIDGET-PAGINATION-OBSTRUCTION-post-merge-closure-report.md,Closed PASS,PASS,1d0cee65c7a24d0494e4fee6e8a48c647ac322dc,1d0cee65c7a24d0494e4fee6e8a48c647ac322dc,exact merge SHA matched git_sha/image_tag,Browser hit-test/pagination clickability,,,no,
#621,/private/tmp/regmind-kyc-docs-finding-duplicate-summary-cleanup/PR-KYC-DOCS-FINDING-DUPLICATE-SUMMARY-CLEANUP-closure-report.md,Closed PASS,PASS,7189d658faf8f5a9c63091b1f914516212b6a682,7189d658faf8f5a9c63091b1f914516212b6a682,exact merge SHA matched git_sha/image_tag,Live staging fixture/browser screenshots,,Original screenshots unavailable; live fixture used,no,
#622,/private/tmp/regmind-kyc-docs-verification-details-and-reverify/PR-KYC-DOCS-VERIFICATION-DETAILS-AND-REVERIFY-ACTION-final-closure-report.md,Closed PASS after #624,PASS WITH VALIDATION LIMITATION,5b03de1936bd2c76e625dec64651c8b329c10c70,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,newer SHA includes #622/#624,Final staging validation after #624,,Exact #622 SHA not live at final validation; #624 required,no,
#623,/private/tmp/regmind-screening-detail-evidence-hydration-perf/PR-SCREENING-DETAIL-EVIDENCE-HYDRATION-PERF-closure-report.md,Closed PASS,PASS,f5d7649bc9b096c34b394b3b51de4694c6a30e4d,f5d7649bc9b096c34b394b3b51de4694c6a30e4d,exact merge SHA matched git_sha/image_tag,Authenticated API/browser timing,,Heavy full hydration remains >10s but non-blocking,no,P2 backend payload/query optimization
#624,/private/tmp/regmind-kyc-docs-reverify-terminal-state-guard/PR-KYC-DOCS-REVERIFY-TERMINAL-STATE-GUARD-closure-report.md,Closed PASS,PASS WITH VALIDATION LIMITATION,28cb50616e863dee5ddbae7fd97c158895e6331e,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,newer #625 SHA includes #624; direct #624 deploy superseded,Live staging browser validation terminal rows,,"Validated as ancestor on newer main, not exact #624 merge SHA",no,
#625,/private/tmp/regmind-application-field-provenance-mismatch-indicators-closure/PR-APPLICATION-FIELD-PROVENANCE-MISMATCH-INDICATORS-closure-report.md,Closed PASS with validation limitation,PASS WITH VALIDATION LIMITATION,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,exact merge SHA matched git_sha/image_tag,Live Missing indicator plus deployed-JS synthetic mismatch branch,,No persisted live mismatch/needs-review record among 241 apps,no,Seed mismatch fixture if required
#626,/private/tmp/regmind-kyc-docs-officer-upload-document-type-list/PR-KYC-DOCS-OFFICER-UPLOAD-DOCUMENT-TYPE-LIST-closure-report.md,Closed PASS,PASS,43cc7a31658e34006239c9c0fb8dd565a9d433ab,43cc7a31658e34006239c9c0fb8dd565a9d433ab,exact merge SHA matched git_sha/image_tag,Live browser dropdown/preselection; no mutation,,,no,
#627,/private/tmp/regmind-prs-memo-addendum-post-completion-error-guard/PRS-MEMO-ADDENDUM-POST-COMPLETION-ERROR-GUARD-closure-report.md,Closed PASS,PASS,ea33cdfdba8be1dcdca97984c287ce1288efbe49,ea33cdfdba8be1dcdca97984c287ce1288efbe49,exact/current origin/main matched git_sha/image_tag,Controlled hidden fixture completion; previous ERROR gone,,,no,
PR-SCREENING-DETAIL-EVIDENCE-HYDRATION-PERF-AUDIT-1,/private/tmp/regmind-screening-detail-evidence-hydration-perf-audit/PR-SCREENING-DETAIL-EVIDENCE-HYDRATION-PERF-AUDIT-1-report.md,,FAIL / fix needed,,,,Audit identified 13-29s detail load; led to #623,,,no,Superseded by #623
PR-APPLICATION-VERIFIED-FIELD-INDICATORS-AUDIT-1,/private/tmp/regmind-application-verified-field-indicators-audit/PR-APPLICATION-VERIFIED-FIELD-INDICATORS-AUDIT-1-report.md,,FAIL / fix needed,,,,Audit found missing non-green indicators; led to #625,,,no,Superseded by #625
PR-KYC-DOCS-OFFICER-UPLOAD-DOCUMENT-TYPE-LIST-AUDIT-1,/private/tmp/regmind-kyc-docs-officer-upload-document-type-list-audit/PR-KYC-DOCS-OFFICER-UPLOAD-DOCUMENT-TYPE-LIST-AUDIT-1-report.md,,FAIL / fix needed,,,,Audit found missing passport/national_id; led to #626,,,no,Superseded by #626
PERIODIC-REVIEW-FINAL-E2E-1,/private/tmp/regmind-periodic-review-final-e2e/PERIODIC-REVIEW-FINAL-E2E-1-report.md,,PASS WITH VALIDATION LIMITATION,,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,,Read-only API/browser E2E; no mutations; no side effects,,Missing lifecycle states and no live completion/attestation/document mutation,no,Add disposable full-cycle fixture
PERIODIC-REVIEW-FULL-COMPLETION-CYCLE-PROOF-1,/private/tmp/regmind-periodic-review-full-completion-cycle-proof/PERIODIC-REVIEW-FULL-COMPLETION-CYCLE-PROOF-1-report.md,,PASS WITH LIMITATION,,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,,"Synthetic fixture full completion, audit, terminal, next cycle, replay blocks",,Non-fatal CloudWatch ERROR later fixed by #627,no,Covered by #627
APPLICATION-REVIEW-FINAL-BROWSER-SMOKE-1,/private/tmp/regmind-application-review-final-browser-smoke/APPLICATION-REVIEW-FINAL-BROWSER-SMOKE-1-report.md,,PASS WITH LIMITATION,,,,Functional smoke passed but staging behind audited origin/main,,Runtime lag limitation,no,Superseded by rerun
APPLICATION-REVIEW-FINAL-BROWSER-SMOKE-RERUN-1,/private/tmp/regmind-application-review-final-browser-smoke-rerun/APPLICATION-REVIEW-FINAL-BROWSER-SMOKE-RERUN-1-report.md,,PASS,,ea33cdfdba8be1dcdca97984c287ce1288efbe49,,Read-only browser smoke on latest origin/main; clean CloudWatch,,None material,no,
KYC-DOCS-FINAL-LIVE-BROWSER-SMOKE-1,/private/tmp/regmind-kyc-docs-final-live-browser-smoke/KYC-DOCS-FINAL-LIVE-BROWSER-SMOKE-1-report.md,,PASS WITH LIMITATION,,ea33cdfdba8be1dcdca97984c287ce1288efbe49,,Read-only live browser smoke; recent KYC fixes intact,,No genuine missing-policy row in scanned staging fixtures,no,Add to report
