Area/module,PR/workstream,PR number,GitHub title,Issue addressed,Scope/files,Merge SHA,Deployed SHA,Validation type,Final verdict,Limitation,Evidence path,Follow-up required,Pilot impact
General Remediation,#474,474,PR-3 — Terminal Record Gate Reconciliation,PR-3 — Terminal Record Gate Reconciliation,arie-backend/server.py; arie-backend/tests/test_case_command_centre_runtime.py; arie-backend/tests/test_pr3_terminal_record_gate_reconciliation.py; arie-backoffice.html; docs/audits/evidence/remediation_sprints/PR-3_terminal-record-gate-reconciliation_20260613T124710Z/api_smoke.md; docs/audits/evidence/remediation_sprints/PR-3_terminal-record-gate-reconciliation_20260613T124710Z/browser_smoke.md; docs/audits/evidence/remediation_sprints/PR-3_terminal-record-gate-reconciliation_20260613T124710Z/closure_report.md; docs/audits/evidence/remediation_sprints/PR-3_terminal-record-gate-reconciliation_20260613T124710Z/diagnosis.md; ... +8 more,e61800bedc61752885313ab9e70718f6c4a021f3,,## Tests Added / Updated Added backend tests covering: - Approved terminal record with decision evidence separates decision basis from current diagnostics. - Legacy approved record is labelled evidence-incomplete without active gate blockers. - Rejected terminal record does not expose action-required approval blockers. - Non-terminal pending/in-review record still exposes fail-closed gate blockers. - New terminal gate fields are stripped from client-safe application projection. - New approval decisions persist an approval gate snapshot. - Back Office Case Command Centre terminal renderer separates decision context/current diagnostics. Updated CCC runtime tests to cover terminal presentation behavior.,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Screening / Provider,#475,475,PR-4 — Screening Truth Safe Readiness Labels,PR-4 — Screening Truth Safe Readiness Labels,arie-backend/memo_handler.py; arie-backend/screening_state.py; arie-backend/security_hardening.py; arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backend/tests/test_case_command_centre_runtime.py; arie-backend/tests/test_screening_clearance_validation_supervisor.py; arie-backend/tests/test_screening_state_priority_a.py; arie-backoffice.html; ... +9 more,ef5ee1d7e3d5e1ee83ad4b8015d70f432485492a,,## Tests ```bash git diff --check python3 -m py_compile arie-backend/screening_state.py arie-backend/memo_handler.py arie-backend/security_hardening.py arie-backend/tests/test_screening_state_priority_a.py arie-backend/tests/test_screening_clearance_validation_supervisor.py arie-backend/tests/test_backoffice_ca_truthflow_static.py arie-backend/tests/test_case_command_centre_runtime.py PYTHONPATH=arie-backend pytest -q arie-backend/tests/test_screening_state_priority_a.py arie-backend/tests/test_screening_clearance_validation_supervisor.py arie-backend/tests/test_backoffice_ca_truthflow_static.py arie-backend/tests/test_case_command_centre_runtime.py PYTHONPATH=arie-backend pytest -q arie-backend/tests/test_pr1_client_api_boundary.py arie-backend/tests/test_pr1b_client_notification_boundary.py arie-backend/tests/test_pr3_terminal_record_gate_reconciliation.py,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Screening / Provider,#476,476,PR-4B — Screening Memo Readiness Metadata Hardening,PR-4B — Screening Memo Readiness Metadata Hardening,arie-backend/screening_state.py; arie-backend/server.py; arie-backend/tests/test_pr4_screening_memo_readiness_metadata.py; docs/audits/evidence/remediation_sprints/PR-4B_screening-memo-readiness-metadata-hardening_20260613T164500Z/api_smoke.md; docs/audits/evidence/remediation_sprints/PR-4B_screening-memo-readiness-metadata-hardening_20260613T164500Z/browser_smoke.md; docs/audits/evidence/remediation_sprints/PR-4B_screening-memo-readiness-metadata-hardening_20260613T164500Z/closure_report.md; docs/audits/evidence/remediation_sprints/PR-4B_screening-memo-readiness-metadata-hardening_20260613T164500Z/diagnosis.md; docs/audits/evidence/remediation_sprints/PR-4B_screening-memo-readiness-metadata-hardening_20260613T164500Z/full_suite_results.md; ... +4 more,3a79bd014cc84e8189e50daeecc325c3cb9af0a5,,"## Tests Added/Updated - Added sanitizer unit regression for stale `approval_ready=true` plus `approval_blocking=true` metadata. - Added runtime application detail regression proving stale memo metadata is sanitized in API output. ## Closure Note FSI-007 remains PARTIALLY FIXED until this PR is merged into main, deployed to staging, staging `/api/version` matches the merged main SHA, API smoke proves no nested application detail readiness contradiction remains, and browser smoke passes for affected officer/client surfaces. No other remediation item is closed by this PR.",audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
General Remediation,#477,477,PR-5 — Memo Governance Unification and Decision UX Cleanup,PR-5 — Memo Governance Unification and Decision UX Cleanup,arie-backend/edd_memo_integration.py; arie-backend/evidence_pack_export.py; arie-backend/memo_governance.py; arie-backend/security_hardening.py; arie-backend/server.py; arie-backend/tests/test_api.py; arie-backend/tests/test_approval_gate.py; arie-backend/tests/test_backoffice_review_audit.py; ... +24 more,b061c52f147b6fa42398629bb2b5dd2502682f3d,,## Tests Added / Updated - Added `arie-backend/tests/test_pr5_memo_governance.py` - Updated memo ordering/gate tests - Updated pass-with-fixes and supervisor-warning approval tests - Updated back-office static UI tests - Updated approval-gate fixtures that create approved memos ## Evidence Pack `docs/audits/evidence/remediation_sprints/PR-5_memo-governance-unification_20260613T182929Z/` Includes: - `diagnosis.md` - `root_cause.md` - `test_results.md` - `full_suite_results.md` - `staging_deploy.md` - `api_smoke.md` - `browser_smoke.md` - `closure_report.md`,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Screening / Provider,#512,512,[codex] Restore CA sandbox prescreening availability,[codex] Restore CA sandbox prescreening availability,arie-backend/screening_complyadvantage/client.py; arie-backend/screening_complyadvantage/payloads.py; arie-backend/server.py; arie-backend/tests/test_api.py; arie-backend/tests/test_complyadvantage_client.py; arie-backend/tests/test_complyadvantage_payloads.py; arie-backend/tests/test_phase6_complyadvantage_readiness.py; arie-backend/tests/test_screening_adapter_complyadvantage.py; ... +16 more,8f2c9bc38180e6ef8340bf58da523bc247d365a6,,"## Validation - Syntax check: pass. - Initial focused CA/submit tests: `68 passed in 2.15s`. - Rebased focused CA/submit plus API status contract: `69 passed in 2.62s`. - CA auth/evidence/audit/orchestration tests: `79 passed in 0.54s`. - Portal prescreening tests: `74 passed in 2.08s`. - Initial full backend suite: `5454 passed, 17 skipped in 218.85s`. - Rebased full backend suite: `5460 passed, 17 skipped in 251.30s`. - GitHub CI: lint-and-test, pdf-tests, and docker-validate passed. - Direct CA Sandbox payload probe: strict company and strict person synthetic payloads returned workflow handles. ## Post-Merge Required Gates - Merge to main. - Deploy merged main to staging. - Confirm `/api/version` git SHA and image tag match merge SHA.",audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
General Remediation,#516,516,[codex] Harden staging version evidence,[codex] Harden staging version evidence,.github/workflows/day6-staging-smoke.yml; .github/workflows/deploy-staging.yml; arie-backend/db.py; arie-backend/scripts/qa/staging_release_evidence.py; arie-backend/server.py; arie-backend/tests/test_api.py; arie-backend/tests/test_day6_deployment_observability_docs.py; arie-backend/tests/test_day6_staging_smoke_workflow.py; ... +7 more,ab0dc587751b983eee43d00ea632609282a8ef42,,## Validation - `python3.11 -m pytest arie-backend/tests/test_api.py::TestAuthenticatedAccess::test_version_requires_authentication arie-backend/tests/test_api.py::TestAuthenticatedAccess::test_authenticated_version_returns_required_release_keys arie-backend/tests/test_api.py::TestAuthenticatedAccess::test_version_does_not_return_secret_like_fields_or_values arie-backend/tests/test_api.py::TestAuthenticatedAccess::test_version_missing_env_vars_fail_safe_without_500 arie-backend/tests/test_version_endpoint.py arie-backend/tests/test_qa_smoke_user.py arie-backend/tests/test_staging_release_evidence.py arie-backend/tests/test_day6_staging_smoke_workflow.py arie-backend/tests/test_day6_deployment_observability_docs.py arie-backend/tests/test_day6_closing_runbook.py -q` -> 26 passed,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
General Remediation,#517,517,[codex] Fix staging smoke dashboard canonical check,[codex] Fix staging smoke dashboard canonical check,arie-backend/scripts/qa/day5_closing_smoke.py; arie-backend/tests/test_day5_closing_smoke.py; docs/DAY6_CLOSING_RUNBOOK.md; docs/DEPLOYMENT_RUNBOOK.md,26571ce558f17749debcfe9c90ddbf18a3f5768e,,## Validation - `python3.11 -m pytest arie-backend/tests/test_day5_closing_smoke.py arie-backend/tests/test_day6_deployment_observability_docs.py arie-backend/tests/test_day6_closing_runbook.py arie-backend/tests/test_staging_release_evidence.py -q` -> 15 passed - `git diff --check` -> passed,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
General Remediation,#518,518,[codex] Make staging smoke counts optional,[codex] Make staging smoke counts optional,.github/workflows/day6-staging-smoke.yml; arie-backend/tests/test_day6_closing_runbook.py; arie-backend/tests/test_day6_deployment_observability_docs.py; arie-backend/tests/test_day6_staging_smoke_workflow.py; docs/DAY6_CLOSING_RUNBOOK.md; docs/DEPLOYMENT_RUNBOOK.md,12aca7a28014db34a211da4ec8f594febaba5a6b,,## Validation - `python3.11 -m pytest arie-backend/tests/test_day6_staging_smoke_workflow.py arie-backend/tests/test_day6_deployment_observability_docs.py arie-backend/tests/test_day6_closing_runbook.py -q` -> 11 passed - `git diff --check` -> passed <!-- This is an auto-generated comment: release notes by coderabbit.ai -->,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Fixture/Test Data Visibility,#608,608,[codex] Hide fixture records behind Back Office toggle,Pilot fixture hiding and segmentation,arie-backend/change_management.py; arie-backend/server.py; arie-backend/tests/test_pilot_data_segmentation_fixture_hiding.py; arie-backoffice.html,e5a858f28ab9b03a4fed82f70e1218ba584a4212,747c48cd6273234f50bd84dbd418b5f5efe3a298,API/browser validation after hotfixes,PASS,Historical fixture data remains hidden/separated by default,/private/tmp/regmind-pr-608-post-merge-closure/PR-608-post-merge-closure-report.md,,Supported by cited evidence
Pilot / Fixture Visibility,#609,609,[codex] Hide unflagged smoke fixture rows from lists,[codex] Hide unflagged smoke fixture rows from lists,arie-backend/fixture_filter.py; arie-backend/lifecycle_queue.py; arie-backend/server.py; arie-backend/tests/test_fixture_exclusion.py; arie-backend/tests/test_pilot_data_segmentation_fixture_hiding.py,d6917262198369e74949c2d2430398456ea77e9e,,## Validation - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_fixture_exclusion.py arie-backend/tests/test_pilot_data_segmentation_fixture_hiding.py -q` — 58 passed - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_dashboard_metrics_truth.py arie-backend/tests/test_backoffice_dashboard_runtime.py -q` — 3 passed - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_cm_backoffice_workspace_simplify_static.py arie-backend/tests/test_cm_regression_hotfix.py arie-backend/tests/test_cm_implement_propagation.py arie-backend/tests/test_change_management_diff_runtime.py -q` — 51 passed - `/opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_backoffice_inline_script_static.py arie-backend/tests/test_backoffice_dashboard_runtime.py arie-backend/tests/test_application.py -q` — 23 passed,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Screening Queue,#610,610,[codex] Optimize Screening Queue list performance,Screening Queue query performance,arie-backend/server.py; arie-backend/tests/test_api.py; arie-backend/tests/test_screening_queue.py,995a66aea12d4bf89678d87023ca5e683b5be279,995a66aea12d4bf89678d87023ca5e683b5be279,Queue list latency samples under target,PASS WITH LIMITATION,include_evidence detail hydration remained slow before #623,/private/tmp/regmind-screening-queue-query-perf/closure/PR-SCREENING-QUEUE-QUERY-PERF-1-post-merge-closure-report.md,Closed by #623 for first-detail blocker,Supported by cited evidence
Change Management,#611,611,Filter fixture-sourced CM alerts by default,Filter fixture-sourced CM alerts by default,arie-backend/fixture_filter.py; arie-backend/server.py; arie-backend/tests/test_pilot_data_segmentation_fixture_hiding.py,747c48cd6273234f50bd84dbd418b5f5efe3a298,,## Tests - PYTHONPATH=arie-backend /opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_pilot_data_segmentation_fixture_hiding.py -q - PYTHONPATH=arie-backend /opt/homebrew/bin/python3.11 -m pytest arie-backend/tests/test_cm_regression_hotfix.py arie-backend/tests/test_change_management* -q - /opt/homebrew/bin/python3.11 -m py_compile arie-backend/fixture_filter.py arie-backend/server.py arie-backend/change_management.py - git diff --check <!-- This is an auto-generated comment: release notes by coderabbit.ai -->,audit-only,Evidence gap: no directly matched closure report located for this recon pass,,Add closure report path or downgrade status if report currently says closed,Pilot impact should be cited from closure evidence
Screening Review,#612,612,[codex] Remove duplicate document banner from Screening Review,Remove duplicate Screening Review document banner,arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backoffice.html,ad3603db70bf65c82b7ad6aef3895235743516a7,ad3603db70bf65c82b7ad6aef3895235743516a7,Read-only staging browser validation of banner removal and protected document surfaces,PASS,UI-only; no workflow mutation exercised,/private/tmp/regmind-screening-review-document-banner-removal/closure/PR-SCREENING-REVIEW-DOCUMENT-BANNER-REMOVAL-closure-report.md,,Supported by cited evidence
KYC Documents,#613,613,[codex] Improve Back Office KYC document upload responsiveness,Back-office KYC upload responsiveness,arie-backend/tests/test_kyc_docs_action_stability_static.py; arie-backend/tests/test_pr_doc_ui1_backoffice_document_review.py; arie-backoffice.html,e8d95083deb23b0bcee59dd7084c40a587202b62,e8d95083deb23b0bcee59dd7084c40a587202b62,Non-mutating post-merge validation,PASS WITH VALIDATION LIMITATION,No live upload because no safe disposable fixture,/private/tmp/regmind-kyc-doc-upload-performance/closure/PR-KYC-DOC-UPLOAD-PERFORMANCE-1-post-merge-closure-report.md,Add disposable upload fixture,Supported by cited evidence
KYC Documents,#614,614,[codex] Clean KYC Documents missing-document wording,KYC Documents missing/policy wording cleanup,arie-backend/tests/test_document_reliance_ui_static.py; arie-backend/tests/test_pr_doc_ui2_manus_compact_document_review.py; arie-backoffice.html,686dc386e34d011509da1f9aa4931d19b35c1d65,686dc386e34d011509da1f9aa4931d19b35c1d65,"Read-only staging browser validation; policy-missing exact state not live, as disclosed",PASS,Policy-missing exact state not live; closure does not claim that row was shown,/private/tmp/regmind-kyc-docs-missing-wording-cleanup/closure/PR-KYC-DOCS-MISSING-WORDING-CLEANUP-1-post-merge-closure-report.md,,Supported by cited evidence
Monitoring,#615,615,[codex] Paginate and clean Monitoring Alerts list,Monitoring Alerts pagination/fixture/type cleanup,arie-backend/server.py; arie-backend/tests/test_backoffice_monitoring_navigation_static.py; arie-backend/tests/test_monitoring_alerts_list_contract_api.py; arie-backend/tests/test_monitoring_alerts_sprint1_static.py; arie-backoffice.html,9f89758f32dbf0f21e04c71cdc5d4dab63580f60,7189d658faf8f5a9c63091b1f914516212b6a682,Authenticated API/browser rerun; direct click pagination passed,PASS WITH VALIDATION LIMITATION,Lower-privilege unauthorized fixture opt-in not directly retested,/private/tmp/regmind-pr615-final-closure-rerun/PR-MONITORING-LIST-PAGINATION-FIXTURE-FILTER-AND-TYPE-CLEANUP-1-final-closure-report.md,Add direct non-SCO fixture opt-in retest,Supported by cited evidence
Periodic Review,#616,616,[codex] Add next-review approval-anchor reconciliation tests,Next-review approval-anchor reconciliation test governance,arie-backend/tests/test_next_review_approval_anchor_reconciliation.py,0d9dfbde71253ea8db71aa3042cb736ee76aaa06,0d9dfbde71253ea8db71aa3042cb736ee76aaa06,Test-only PR; CI and staging runtime proof,PASS,Test-only; documented xfail design gaps,/private/tmp/regmind-next-review-reconciliation-tests/closure/PRS-NEXT-REVIEW-RECONCILIATION-TESTS-closure-report.md,,Supported by cited evidence
Periodic Review,#617,617,[codex] Simplify Periodic Review tab layout,Periodic Review tab simplification,arie-backend/tests/test_backoffice_periodic_review_workspace_static.py; arie-backoffice.html,f9b39185a58bc879932ac0ad982531819dc72194,f9b39185a58bc879932ac0ad982531819dc72194,Read-only staging browser validation of simplified tab,PASS,Other edge states remain static-test covered,/private/tmp/regmind-pr-617-post-merge-closure/PR-617-post-merge-closure-report.md,,Supported by cited evidence
KYC Documents,#618,618,[codex] Fix KYC document verification policy mapping,False KYC policy-missing warning mapping,arie-backend/tests/test_kyc_docs_policy_mapping_static.py; arie-backoffice.html,e229bbc243472f8e2cfebe0dfe90183e4f6f76aa,e229bbc243472f8e2cfebe0dfe90183e4f6f76aa,Live staging standard policy mapping plus synthetic missing-policy warning,PASS,,/private/tmp/regmind-kyc-docs-verification-policy-mapping/PR-KYC-DOCS-VERIFICATION-POLICY-MAPPING-closure-report.md,,Supported by cited evidence
Periodic Review,#619,619,[codex] Reduce repeated Periodic Review blocker messaging,Periodic Review blocker dedup/copy cleanup,arie-backend/tests/test_backoffice_periodic_review_workspace_static.py; arie-backoffice.html,1c596faaf4fefc15b39dae107684557d8cbc0dc1,7189d658faf8f5a9c63091b1f914516212b6a682,Read-only staging browser validation on newer main,PASS WITH VALIDATION LIMITATION,"Validated on newer main, not exact #619 merge SHA",/private/tmp/regmind-pr-619-post-merge-closure/PR-619-post-merge-closure-report.md,,Supported by cited evidence
Back Office UI,#620,620,[codex] Prevent floating Back Office controls blocking pagination,Floating widget pagination obstruction,arie-backend/tests/test_backoffice_floating_controls_static.py; arie-backoffice.html,1d0cee65c7a24d0494e4fee6e8a48c647ac322dc,1d0cee65c7a24d0494e4fee6e8a48c647ac322dc,Browser hit-test/pagination clickability,PASS,,/private/tmp/regmind-pr620-post-merge-closure/PR-BACKOFFICE-FLOATING-WIDGET-PAGINATION-OBSTRUCTION-post-merge-closure-report.md,,Supported by cited evidence
KYC Documents,#621,621,[codex] Remove duplicate KYC document finding summary text,Duplicate KYC finding summary text,arie-backend/tests/test_kyc_docs_finding_duplicate_summary_static.py; arie-backend/tests/test_pr_doc_ui2_manus_compact_document_review.py; arie-backoffice.html,7189d658faf8f5a9c63091b1f914516212b6a682,7189d658faf8f5a9c63091b1f914516212b6a682,Live staging fixture/browser screenshots,PASS,Original screenshots unavailable; live fixture used,/private/tmp/regmind-kyc-docs-finding-duplicate-summary-cleanup/PR-KYC-DOCS-FINDING-DUPLICATE-SUMMARY-CLEANUP-closure-report.md,,Supported by cited evidence
KYC Documents,#622,622,[codex] Improve KYC document verification details and reverify action,Verification details and Re-verify action visibility,arie-backend/tests/test_application_lifecycle_tab_shell_static.py; arie-backend/tests/test_enhanced_requirement_settings.py; arie-backend/tests/test_kyc_docs_finding_duplicate_summary_static.py; arie-backend/tests/test_kyc_docs_verification_details_and_reverify_static.py; arie-backend/tests/test_pr_doc2a_agent1_evidence_control.py; arie-backend/tests/test_pr_doc_ui2_manus_compact_document_review.py; arie-backend/tests/test_pr_doc_verify_coverage_ui_1.py; arie-backoffice.html,5b03de1936bd2c76e625dec64651c8b329c10c70,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,Final staging validation after #624,PASS WITH VALIDATION LIMITATION,Exact #622 SHA not live at final validation; #624 required,/private/tmp/regmind-kyc-docs-verification-details-and-reverify/PR-KYC-DOCS-VERIFICATION-DETAILS-AND-REVERIFY-ACTION-final-closure-report.md,,Supported by cited evidence
Screening Review,#623,623,[codex] Improve Screening Review evidence hydration performance,Evidence hydration performance,arie-backend/tests/test_backoffice_ca_truthflow_static.py; arie-backoffice.html,f5d7649bc9b096c34b394b3b51de4694c6a30e4d,f5d7649bc9b096c34b394b3b51de4694c6a30e4d,Authenticated API/browser timing,PASS,Heavy full hydration remains >10s but non-blocking,/private/tmp/regmind-screening-detail-evidence-hydration-perf/PR-SCREENING-DETAIL-EVIDENCE-HYDRATION-PERF-closure-report.md,P2 backend payload/query optimization,Supported by cited evidence
KYC Documents,#624,624,[codex] Hide KYC Re-verify action for terminal document states,Re-verify terminal state guard,arie-backend/tests/test_kyc_docs_reverify_terminal_state_guard_static.py; arie-backend/tests/test_kyc_docs_verification_details_and_reverify_static.py; arie-backoffice.html,28cb50616e863dee5ddbae7fd97c158895e6331e,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,Live staging browser validation terminal rows,PASS WITH VALIDATION LIMITATION,"Validated as ancestor on newer main, not exact #624 merge SHA",/private/tmp/regmind-kyc-docs-reverify-terminal-state-guard/PR-KYC-DOCS-REVERIFY-TERMINAL-STATE-GUARD-closure-report.md,,Supported by cited evidence
Application Review,#625,625,[codex] Show source mismatch indicators in Application Review fields,Source/provenance mismatch indicators,arie-backend/tests/test_application_field_provenance_mismatch_indicators_static.py; arie-backoffice.html,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,Live Missing indicator plus deployed-JS synthetic mismatch branch,PASS WITH VALIDATION LIMITATION,No persisted live mismatch/needs-review record among 241 apps,/private/tmp/regmind-application-field-provenance-mismatch-indicators-closure/PR-APPLICATION-FIELD-PROVENANCE-MISMATCH-INDICATORS-closure-report.md,Seed mismatch fixture if required,Supported by cited evidence
KYC Documents,#626,626,[codex] Add missing person document types to officer upload dropdown,Officer upload dropdown document types,arie-backend/tests/test_kyc_docs_officer_upload_document_type_list_static.py; arie-backoffice.html,43cc7a31658e34006239c9c0fb8dd565a9d433ab,43cc7a31658e34006239c9c0fb8dd565a9d433ab,Live browser dropdown/preselection; no mutation,PASS,,/private/tmp/regmind-kyc-docs-officer-upload-document-type-list/PR-KYC-DOCS-OFFICER-UPLOAD-DOCUMENT-TYPE-LIST-closure-report.md,,Supported by cited evidence
Periodic Review,#627,627,[codex] Guard Periodic Review memo addendum update after completion,Memo addendum post-completion error guard,arie-backend/server.py; arie-backend/tests/test_periodic_review_memo_addendum_post_completion_error_guard.py,ea33cdfdba8be1dcdca97984c287ce1288efbe49,ea33cdfdba8be1dcdca97984c287ce1288efbe49,Controlled hidden fixture completion; previous ERROR gone,PASS,,/private/tmp/regmind-prs-memo-addendum-post-completion-error-guard/PRS-MEMO-ADDENDUM-POST-COMPLETION-ERROR-GUARD-closure-report.md,,Supported by cited evidence
Screening,PR-SCREENING-DETAIL-EVIDENCE-HYDRATION-PERF-AUDIT-1,,PR-SCREENING-DETAIL-EVIDENCE-HYDRATION-PERF-AUDIT-1,Hydration perf audit,Validation/audit workstream,,,Audit identified 13-29s detail load; led to #623,FAIL / fix needed,,/private/tmp/regmind-screening-detail-evidence-hydration-perf-audit/PR-SCREENING-DETAIL-EVIDENCE-HYDRATION-PERF-AUDIT-1-report.md,Superseded by #623,Supports report readiness/audit narrative
Application Review,PR-APPLICATION-VERIFIED-FIELD-INDICATORS-AUDIT-1,,PR-APPLICATION-VERIFIED-FIELD-INDICATORS-AUDIT-1,Verified/provenance field indicator audit,Validation/audit workstream,,,Audit found missing non-green indicators; led to #625,FAIL / fix needed,,/private/tmp/regmind-application-verified-field-indicators-audit/PR-APPLICATION-VERIFIED-FIELD-INDICATORS-AUDIT-1-report.md,Superseded by #625,Supports report readiness/audit narrative
KYC Documents,PR-KYC-DOCS-OFFICER-UPLOAD-DOCUMENT-TYPE-LIST-AUDIT-1,,PR-KYC-DOCS-OFFICER-UPLOAD-DOCUMENT-TYPE-LIST-AUDIT-1,Officer upload dropdown audit,Validation/audit workstream,,,Audit found missing passport/national_id; led to #626,FAIL / fix needed,,/private/tmp/regmind-kyc-docs-officer-upload-document-type-list-audit/PR-KYC-DOCS-OFFICER-UPLOAD-DOCUMENT-TYPE-LIST-AUDIT-1-report.md,Superseded by #626,Supports report readiness/audit narrative
Periodic Review,PERIODIC-REVIEW-FINAL-E2E-1,,PERIODIC-REVIEW-FINAL-E2E-1,Final read-only Periodic Review E2E,Validation/audit workstream,,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,Read-only API/browser E2E; no mutations; no side effects,PASS WITH VALIDATION LIMITATION,Missing lifecycle states and no live completion/attestation/document mutation,/private/tmp/regmind-periodic-review-final-e2e/PERIODIC-REVIEW-FINAL-E2E-1-report.md,Add disposable full-cycle fixture,Supports report readiness/audit narrative
Periodic Review,PERIODIC-REVIEW-FULL-COMPLETION-CYCLE-PROOF-1,,PERIODIC-REVIEW-FULL-COMPLETION-CYCLE-PROOF-1,Full completion-cycle proof,Validation/audit workstream,,7f7fbe656e1c0cf8eb861b232fd848c8ae452af4,"Synthetic fixture full completion, audit, terminal, next cycle, replay blocks",PASS WITH LIMITATION,Non-fatal CloudWatch ERROR later fixed by #627,/private/tmp/regmind-periodic-review-full-completion-cycle-proof/PERIODIC-REVIEW-FULL-COMPLETION-CYCLE-PROOF-1-report.md,Covered by #627,Supports report readiness/audit narrative
Application Review,APPLICATION-REVIEW-FINAL-BROWSER-SMOKE-1,,APPLICATION-REVIEW-FINAL-BROWSER-SMOKE-1,Final browser smoke initial,Validation/audit workstream,,,Functional smoke passed but staging behind audited origin/main,PASS WITH LIMITATION,Runtime lag limitation,/private/tmp/regmind-application-review-final-browser-smoke/APPLICATION-REVIEW-FINAL-BROWSER-SMOKE-1-report.md,Superseded by rerun,Supports report readiness/audit narrative
Application Review,APPLICATION-REVIEW-FINAL-BROWSER-SMOKE-RERUN-1,,APPLICATION-REVIEW-FINAL-BROWSER-SMOKE-RERUN-1,Final browser smoke rerun,Validation/audit workstream,,ea33cdfdba8be1dcdca97984c287ce1288efbe49,Read-only browser smoke on latest origin/main; clean CloudWatch,PASS,None material,/private/tmp/regmind-application-review-final-browser-smoke-rerun/APPLICATION-REVIEW-FINAL-BROWSER-SMOKE-RERUN-1-report.md,,Supports report readiness/audit narrative
KYC Documents,KYC-DOCS-FINAL-LIVE-BROWSER-SMOKE-1,,KYC-DOCS-FINAL-LIVE-BROWSER-SMOKE-1,Final live KYC Docs browser smoke,Validation/audit workstream,,ea33cdfdba8be1dcdca97984c287ce1288efbe49,Read-only live browser smoke; recent KYC fixes intact,PASS WITH LIMITATION,No genuine missing-policy row in scanned staging fixtures,/private/tmp/regmind-kyc-docs-final-live-browser-smoke/KYC-DOCS-FINAL-LIVE-BROWSER-SMOKE-1-report.md,Add to report,Supports report readiness/audit narrative
